IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
138.2.36.157,8443,8443,TRUE,KIX,Asia Pacific,Osaka,183 ms,22.503
141.144.198.113,8443,8443,TRUE,AMS,Europe,Amsterdam,229 ms,8.572
150.230.20.156,8443,8443,TRUE,AMS,Europe,Amsterdam,266 ms,8.398
129.151.198.3,8443,8443,TRUE,ARN,Europe,Stockholm,237 ms,8.18
141.145.205.115,8443,8443,TRUE,CDG,Europe,Paris,238 ms,8.153
141.148.242.113,8443,8443,TRUE,AMS,Europe,Amsterdam,267 ms,7.638
143.47.243.144,8443,8443,TRUE,LHR,Europe,London,211 ms,7.462
132.145.54.84,8443,8443,TRUE,LHR,Europe,London,261 ms,7.383
141.147.16.152,8443,8443,TRUE,FRA,Europe,Frankfurt,268 ms,6.772
141.147.61.116,8443,8443,TRUE,FRA,Europe,Frankfurt,230 ms,2.517
168.138.50.249,443,443,TRUE,KIX,Asia Pacific,Osaka,81 ms,24.978
141.147.147.180,443,443,TRUE,KIX,Asia Pacific,Osaka,79 ms,23.747
64.110.104.30,443,443,TRUE,KIX,Asia Pacific,Osaka,81 ms,23.596
146.56.101.141,443,443,TRUE,ICN,Asia Pacific,Seoul,110 ms,18.861
158.180.65.145,443,443,TRUE,ICN,Asia Pacific,Seoul,103 ms,18.862
152.67.203.34,443,443,TRUE,ICN,Asia Pacific,Seoul,102 ms,18.863
158.180.89.73,443,443,TRUE,ICN,Asia Pacific,Seoul,108 ms,18.864
152.70.97.78,443,443,TRUE,NRT,Asia Pacific,Tokyo,179 ms,18.865
64.110.108.118,443,443,TRUE,KIX,Asia Pacific,Osaka,183 ms,18.866
168.138.209.31,443,443,TRUE,NRT,Asia Pacific,Tokyo,66 ms,18.867
140.238.60.225,443,443,TRUE,NRT,Asia Pacific,Tokyo,66 ms,18.868
